Shares,URL,Text,Insider,Position,Transaction,Start Date,Ownership,Value,tic
121,,Stock Award(Grant) at price 0.00 per share.,ISHRAK OMAR SYED,Director,,2025-08-08,D,0.0,AMGN
121,,Stock Award(Grant) at price 0.00 per share.,DRAKE MICHAEL V,Director,,2025-08-08,D,0.0,AMGN
1500,,Sale at price 289.68 per share.,KHOSLA RACHNA,Officer,,2025-06-05,D,434520.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,AUSTIN WANDA M,Director,,2025-05-23,D,0.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,DRUKER BRIAN J,Director,,2025-05-23,D,0.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,ECKERT ROBERT ANDREW,Director,,2025-05-23,D,0.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,MILES AMY E,Director,,2025-05-23,D,0.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,HOLLEY CHARLES M JR,Director,,2025-05-23,D,0.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,KULLMAN ELLEN JAMISON,Director,,2025-05-23,D,0.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,JACKS TYLER,Director,,2025-05-23,D,0.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,GARLAND GREGORY C.,Director,,2025-05-23,D,0.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,ISHRAK OMAR SYED,Director,,2025-05-23,D,0.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,DRAKE MICHAEL V,Director,,2025-05-23,D,0.0,AMGN
809,,Stock Award(Grant) at price 0.00 per share.,KLOTMAN MARY E,Director,,2025-05-23,D,0.0,AMGN
3919,,Stock Award(Grant) at price 0.00 per share.,GORDON MURDO,Officer,,2025-05-06,D,0.0,AMGN
3327,,Stock Award(Grant) at price 0.00 per share.,SANTOS ESTEBAN,Officer,,2025-05-06,D,0.0,AMGN
3549,,Stock Award(Grant) at price 0.00 per share.,REESE DAVID M.,Chief Technology Officer,,2025-05-06,D,0.0,AMGN
3919,,Stock Award(Grant) at price 0.00 per share.,GRIFFITH PETER H.,Chief Financial Officer,,2025-05-06,D,0.0,AMGN
591,,Stock Award(Grant) at price 0.00 per share.,GRYGIEL NANCY A,Officer,,2025-05-06,D,0.0,AMGN
610,,Stock Award(Grant) at price 0.00 per share.,KHOSLA RACHNA,Officer,,2025-05-06,D,0.0,AMGN
13311,,Stock Award(Grant) at price 0.00 per share.,BRADWAY ROBERT A,Chief Executive Officer,,2025-05-06,D,0.0,AMGN
157,,Stock Award(Grant) at price 0.00 per share.,HOLLEY CHARLES M JR,Director,,2025-05-06,D,0.0,AMGN
3180,,Stock Award(Grant) at price 0.00 per share.,GRAHAM JONATHAN P,General Counsel,,2025-05-06,D,0.0,AMGN
129,,Stock Award(Grant) at price 0.00 per share.,ISHRAK OMAR SYED,Director,,2025-05-06,D,0.0,AMGN
961,,Stock Award(Grant) at price 0.00 per share.,MILLER DEREK,Officer,,2025-05-06,D,0.0,AMGN
129,,Stock Award(Grant) at price 0.00 per share.,DRAKE MICHAEL V,Director,,2025-05-06,D,0.0,AMGN
3549,,Stock Award(Grant) at price 0.00 per share.,BRADNER JAMES E.,Officer,,2025-05-06,D,0.0,AMGN
554,,Stock Award(Grant) at price 0.00 per share.,BUSCH MATTHEW C.,Officer,,2025-05-06,D,0.0,AMGN
1000,,Sale at price 279.69 per share.,BUSCH MATTHEW C.,Officer,,2025-05-02,D,279690.0,AMGN
8085,,Stock Award(Grant) at price 0.00 per share.,GORDON MURDO,Officer,,2025-03-03,D,0.0,AMGN
6792,,Stock Award(Grant) at price 0.00 per share.,SANTOS ESTEBAN,Officer,,2025-03-03,D,0.0,AMGN
7277,,Stock Award(Grant) at price 0.00 per share.,REESE DAVID M.,Chief Technology Officer,,2025-03-03,D,0.0,AMGN
7277,,Stock Award(Grant) at price 0.00 per share.,GRIFFITH PETER H.,Chief Financial Officer,,2025-03-03,D,0.0,AMGN
1503,,Stock Award(Grant) at price 0.00 per share.,GRYGIEL NANCY A,Officer,,2025-03-03,D,0.0,AMGN
1403,,Stock Award(Grant) at price 0.00 per share.,KHOSLA RACHNA,Officer,,2025-03-03,D,0.0,AMGN
25734,,Stock Award(Grant) at price 0.00 per share.,BRADWAY ROBERT A,Chief Executive Officer,,2025-03-03,D,0.0,AMGN
6306,,Stock Award(Grant) at price 0.00 per share.,GRAHAM JONATHAN P,General Counsel,,2025-03-03,D,0.0,AMGN
2005,,Stock Award(Grant) at price 0.00 per share.,MILLER DEREK,Officer,,2025-03-03,D,0.0,AMGN
497,,Stock Award(Grant) at price 0.00 per share.,BUSCH MATTHEW C.,Officer,,2025-03-03,D,0.0,AMGN
33936,,Sale at price 293.22 - 304.44 per share.,REESE DAVID M.,Chief Technology Officer,,2025-02-21,D,10233748.0,AMGN
8711,,Sale at price 292.84 per share.,SANTOS ESTEBAN,Officer,,2025-02-19,D,2550903.0,AMGN
8711,,Conversion of Exercise of derivative security at price 156.35 per share.,SANTOS ESTEBAN,Officer,,2025-02-19,D,1361965.0,AMGN
8711,,Conversion of Exercise of derivative security at price 156.35 per share.,REESE DAVID M.,Chief Technology Officer,,2025-02-19,D,1361965.0,AMGN
2024,,Sale at price 292.56 - 293.74 per share.,MILLER DEREK,Officer,,2025-02-19,D,593934.0,AMGN
1524,,Conversion of Exercise of derivative security at price 156.35 per share.,MILLER DEREK,Officer,,2025-02-19,D,238277.0,AMGN
8771,,Sale at price 294.79 per share.,GORDON MURDO,Officer,,2025-02-11,D,2585644.0,AMGN
25045,,Sale at price 293.12 per share.,GRAHAM JONATHAN P,General Counsel,,2025-02-07,D,7341123.0,AMGN
25045,,Conversion of Exercise of derivative security at price 156.35 per share.,GRAHAM JONATHAN P,General Counsel,,2025-02-07,D,3915786.0,AMGN
1589,,Sale at price 304.47 per share.,GRYGIEL NANCY A,Officer,,2025-02-05,D,483808.0,AMGN
6430,,Stock Gift at price 0.00 per share.,GRAHAM JONATHAN P,General Counsel,,2024-12-05,D,0.0,AMGN
186000,,Stock Gift at price 0.00 per share.,BRADWAY ROBERT A,Chief Executive Officer,,2024-12-02,D,0.0,AMGN
268,,Stock Award(Grant) at price 0.00 per share.,HOLLEY CHARLES M JR,Director,,2024-11-04,D,0.0,AMGN
220,,Stock Award(Grant) at price 0.00 per share.,ISHRAK OMAR SYED,Director,,2024-11-04,D,0.0,AMGN
220,,Stock Award(Grant) at price 0.00 per share.,DRAKE MICHAEL V,Director,,2024-11-04,D,0.0,AMGN
131,,Stock Award(Grant) at price 0.00 per share.,HOLLEY CHARLES M JR,Director,,2024-08-09,D,0.0,AMGN
108,,Stock Award(Grant) at price 0.00 per share.,ISHRAK OMAR SYED,Director,,2024-08-09,D,0.0,AMGN
108,,Stock Award(Grant) at price 0.00 per share.,DRAKE MICHAEL V,Director,,2024-08-09,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,AUSTIN WANDA M,Director,,2024-05-31,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,DRUKER BRIAN J,Director,,2024-05-31,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,ECKERT ROBERT ANDREW,Director,,2024-05-31,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,MILES AMY E,Director,,2024-05-31,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,HOLLEY CHARLES M JR,Director,,2024-05-31,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,KULLMAN ELLEN JAMISON,Director,,2024-05-31,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,JACKS TYLER,Director,,2024-05-31,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,GARLAND GREGORY C.,Director,,2024-05-31,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,ISHRAK OMAR SYED,Director,,2024-05-31,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,DRAKE MICHAEL V,Director,,2024-05-31,D,0.0,AMGN
719,,Stock Award(Grant) at price 0.00 per share.,KLOTMAN MARY E,Director,,2024-05-31,D,0.0,AMGN
3529,,Stock Award(Grant) at price 0.00 per share.,GORDON MURDO,Officer,,2024-05-07,D,0.0,AMGN
2997,,Stock Award(Grant) at price 300.30 per share.,SANTOS ESTEBAN,Officer,,2024-05-07,D,899999.0,AMGN
3196,,Stock Award(Grant) at price 0.00 per share.,REESE DAVID M.,Chief Technology Officer,,2024-05-07,D,0.0,AMGN
3196,,Stock Award(Grant) at price 0.00 per share.,GRIFFITH PETER H.,Chief Financial Officer,,2024-05-07,D,0.0,AMGN
499,,Stock Award(Grant) at price 0.00 per share.,GRYGIEL NANCY A,Officer,,2024-05-07,D,0.0,AMGN
532,,Stock Award(Grant) at price 0.00 per share.,KHOSLA RACHNA,Officer,,2024-05-07,D,0.0,AMGN
11988,,Stock Award(Grant) at price 0.00 per share.,BRADWAY ROBERT A,Chief Executive Officer,,2024-05-07,D,0.0,AMGN
141,,Stock Award(Grant) at price 0.00 per share.,HOLLEY CHARLES M JR,Director,,2024-05-07,D,0.0,AMGN
2863,,Stock Award(Grant) at price 0.00 per share.,GRAHAM JONATHAN P,General Counsel,,2024-05-07,D,0.0,AMGN
116,,Stock Award(Grant) at price 0.00 per share.,ISHRAK OMAR SYED,Director,,2024-05-07,D,0.0,AMGN
865,,Stock Award(Grant) at price 0.00 per share.,MILLER DEREK,Officer,,2024-05-07,D,0.0,AMGN
116,,Stock Award(Grant) at price 0.00 per share.,DRAKE MICHAEL V,Director,,2024-05-07,D,0.0,AMGN
2863,,Stock Award(Grant) at price 0.00 per share.,BRADNER JAMES E.,Officer,,2024-05-07,D,0.0,AMGN
333,,Stock Award(Grant) at price 0.00 per share.,BUSCH MATTHEW C.,Officer,,2024-05-07,D,0.0,AMGN
2117,,Sale at price 313.09 per share.,GRYGIEL NANCY A,Officer,,2024-05-03,D,662802.0,AMGN
31000,,Sale at price 255.00 per share.,JASSY ANDREW R.,Chief Executive Officer,,2026-04-17,D,7905000.0,AMZN
20500,,Sale at price 245.00 per share.,HERRINGTON DOUGLAS J,Officer,,2026-04-14,D,5022500.0,AMZN
1000,,Sale at price 210.50 per share.,HERRINGTON DOUGLAS J,Officer,,2026-04-01,D,210500.0,AMZN
1000,,Sale at price 204.25 per share.,HERRINGTON DOUGLAS J,Officer,,2026-03-02,D,204250.0,AMZN
17749,,Sale at price 204.15 - 208.02 per share.,ZAPOLSKY DAVID A.,Officer,,2026-02-24,D,3645614.0,AMZN
6835,,Sale at price 204.63 - 208.25 per share.,HERRINGTON DOUGLAS J,Officer,,2026-02-23,D,1406785.0,AMZN
17751,,Sale at price 204.14 - 208.05 per share.,GARMAN MATTHEW S,Officer,,2026-02-23,D,3642842.0,AMZN
19872,,Sale at price 204.25 - 207.96 per share.,JASSY ANDREW R.,Chief Executive Officer,,2026-02-23,D,4077378.0,AMZN
2695,,Sale at price 204.60 - 207.98 per share.,REYNOLDS SHELLEY L,Officer,,2026-02-23,D,554892.0,AMZN
17087,,,HERRINGTON DOUGLAS J,Officer,,2026-02-20,D,,AMZN
20883,,,GARMAN MATTHEW S,Officer,,2026-02-20,D,,AMZN
17749,,,ZAPOLSKY DAVID A.,Officer,,2026-02-20,D,,AMZN
17749,,,OLSAVSKY BRIAN T.,Chief Financial Officer,,2026-02-20,D,,AMZN
49680,,,JASSY ANDREW R.,Chief Executive Officer,,2026-02-20,D,,AMZN
2695,,,REYNOLDS SHELLEY L,Officer,,2026-02-20,D,,AMZN
4784,,Sale at price 196.75 - 200.08 per share.,HERRINGTON DOUGLAS J,Officer,,2026-02-17,D,948990.0,AMZN
1816,,,WEEKS WENDELL P.,Director,,2026-02-13,D,,AMZN
2677,,,GORELICK JAMIE S,Director,,2026-02-13,D,,AMZN
11959,,,HERRINGTON DOUGLAS J,Officer,,2026-02-13,D,,AMZN
900,,Sale at price 203.88 per share.,ALEXANDER KEITH BRIAN,Director,,2026-02-12,D,183492.0,AMZN
1000,,Sale at price 208.00 per share.,HERRINGTON DOUGLAS J,Officer,,2026-02-11,D,208000.0,AMZN
2500,,Sale at price 233.22 per share.,HERRINGTON DOUGLAS J,Officer,,2025-12-01,D,583050.0,AMZN
20670,,Sale at price 215.86 - 222.49 per share.,ZAPOLSKY DAVID A.,Officer,,2025-11-24,D,4559466.0,AMZN
6835,,Sale at price 216.05 - 217.52 per share.,HERRINGTON DOUGLAS J,Officer,,2025-11-21,D,1479098.0,AMZN
17087,,,HERRINGTON DOUGLAS J,Officer,,2025-11-21,D,,AMZN
17768,,Sale at price 215.83 - 219.48 per share.,GARMAN MATTHEW S,Officer,,2025-11-21,D,3853946.0,AMZN
20903,,,GARMAN MATTHEW S,Officer,,2025-11-21,D,,AMZN
17750,,,ZAPOLSKY DAVID A.,Officer,,2025-11-21,D,,AMZN
17750,,,OLSAVSKY BRIAN T.,Chief Financial Officer,,2025-11-21,D,,AMZN
19872,,Sale at price 215.82 - 219.46 per share.,JASSY ANDREW R.,Chief Executive Officer,,2025-11-21,D,4310952.0,AMZN
49680,,,JASSY ANDREW R.,Chief Executive Officer,,2025-11-21,D,,AMZN
2695,,Sale at price 216.07 - 217.57 per share.,REYNOLDS SHELLEY L,Officer,,2025-11-21,D,583222.0,AMZN
2695,,,REYNOLDS SHELLEY L,Officer,,2025-11-21,D,,AMZN
1237,,Sale at price 226.61 per share.,HUTTENLOCHER DANIEL P,Director,,2025-11-20,D,280317.0,AMZN
4784,,Sale at price 231.63 - 234.38 per share.,HERRINGTON DOUGLAS J,Officer,,2025-11-17,D,1113263.0,AMZN
900,,Sale at price 233.00 per share.,ALEXANDER KEITH BRIAN,Director,,2025-11-17,D,209700.0,AMZN
2605,,,SMITH BRAD D,Director,,2025-11-14,I,,AMZN
42610,,Stock Gift at price 0.00 per share.,BEZOS JEFFREY P,Officer and Director,,2025-11-14,D,0.0,AMZN
2473,,,RUBINSTEIN JONATHAN J,Director,,2025-11-14,D,,AMZN
2473,,,STONESIFER PATRICIA Q,Director,,2025-11-14,D,,AMZN
11959,,,HERRINGTON DOUGLAS J,Officer,,2025-11-14,D,,AMZN
2473,,,HUTTENLOCHER DANIEL P,Director,,2025-11-14,D,,AMZN
2605,,,ALEXANDER KEITH BRIAN,Director,,2025-11-14,D,,AMZN
2042,,,COOPER EDITH W.,Director,,2025-11-14,D,,AMZN
1013128,,Stock Gift at price 0.00 per share.,BEZOS JEFFREY P,Officer and Director,,2025-11-07,D,0.0,AMZN
7944,,Stock Gift at price 0.00 per share.,GORELICK JAMIE S,Director,,2025-11-07,D,0.0,AMZN
24500,,Sale at price 250.03 - 255.44 per share.,HERRINGTON DOUGLAS J,Officer,,2025-11-03,D,6139260.0,AMZN
8173,,Sale at price 250.03 per share.,RUBINSTEIN JONATHAN J,Director,,2025-10-31,D,2043495.0,AMZN
2500,,Sale at price 217.10 per share.,HERRINGTON DOUGLAS J,Officer,,2025-10-01,D,542750.0,AMZN
2500,,Sale at price 223.49 per share.,HERRINGTON DOUGLAS J,Officer,,2025-09-02,D,558725.0,AMZN
421693,,Stock Gift at price 0.00 per share.,BEZOS JEFFREY P,Officer and Director,,2025-08-28,D,0.0,AMZN
20670,,Sale at price 221.34 - 222.76 per share.,ZAPOLSKY DAVID A.,Officer,,2025-08-22,D,4595798.0,AMZN
6835,,Sale at price 221.26 - 222.74 per share.,HERRINGTON DOUGLAS J,Officer,,2025-08-21,D,1514783.0,AMZN
17087,,,HERRINGTON DOUGLAS J,Officer,,2025-08-21,D,,AMZN
17785,,Sale at price 221.37 - 221.85 per share.,GARMAN MATTHEW S,Officer,,2025-08-21,D,3940677.0,AMZN
20923,,,GARMAN MATTHEW S,Officer,,2025-08-21,D,,AMZN
17750,,,ZAPOLSKY DAVID A.,Officer,,2025-08-21,D,,AMZN
17750,,Sale at price 222.74 per share.,OLSAVSKY BRIAN T.,Chief Financial Officer,,2025-08-21,D,3953635.0,AMZN
17750,,,OLSAVSKY BRIAN T.,Chief Financial Officer,,2025-08-21,D,,AMZN
19872,,Sale at price 221.42 - 221.91 per share.,JASSY ANDREW R.,Chief Executive Officer,,2025-08-21,D,4403259.0,AMZN
49680,,,JASSY ANDREW R.,Chief Executive Officer,,2025-08-21,D,,AMZN
2715,,Sale at price 221.35 - 222.23 per share.,REYNOLDS SHELLEY L,Officer,,2025-08-21,D,601755.0,AMZN
2715,,,REYNOLDS SHELLEY L,Officer,,2025-08-21,D,,AMZN
4784,,Sale at price 231.78 - 233.72 per share.,HERRINGTON DOUGLAS J,Officer,,2025-08-15,D,1111410.0,AMZN
11959,,,HERRINGTON DOUGLAS J,Officer,,2025-08-15,D,,AMZN
100020,,Stock Gift at price 0.00 per share.,BEZOS JEFFREY P,Officer and Director,,2025-08-14,D,0.0,AMZN
8970,,Stock Gift at price 0.00 per share.,HERRINGTON DOUGLAS J,Officer,,2025-08-08,D,0.0,AMZN
2500,,Sale at price 217.00 per share.,HERRINGTON DOUGLAS J,Officer,,2025-08-01,D,542500.0,AMZN
4154098,,Sale at price 228.48 - 233.08 per share.,BEZOS JEFFREY P,Officer and Director,,2025-07-24,D,954275370.0,AMZN
6612707,,Sale at price 227.55 - 229.54 per share.,BEZOS JEFFREY P,Officer and Director,,2025-07-22,D,1509959637.0,AMZN
733195,,Sale at price 227.02 per share.,BEZOS JEFFREY P,Officer and Director,,2025-07-15,D,166449709.0,AMZN
6715424,,Sale at price 224.55 - 226.44 per share.,BEZOS JEFFREY P,Officer and Director,,2025-07-14,D,1512356060.0,AMZN
485205,,Sale at price 223.88 - 224.02 per share.,BEZOS JEFFREY P,Officer and Director,,2025-07-09,D,108682627.0,AMZN
2974445,,Sale at price 223.73 - 223.92 per share.,BEZOS JEFFREY P,Officer and Director,,2025-07-07,D,665864143.0,AMZN
2500,,Sale at price 219.17 - 220.90 per share.,HERRINGTON DOUGLAS J,Officer,,2025-07-01,D,550144.0,AMZN
3324926,,Sale at price 221.41 - 223.56 per share.,BEZOS JEFFREY P,Officer and Director,,2025-06-30,D,736683388.0,AMZN
24410,,Stock Gift at price 0.00 per share.,BEZOS JEFFREY P,Officer and Director,,2025-06-03,D,0.0,AMZN
2500,,Sale at price 204.98 per share.,HERRINGTON DOUGLAS J,Officer,,2025-06-02,D,512450.0,AMZN
20670,,Sale at price 200.75 - 203.42 per share.,ZAPOLSKY DAVID A.,Officer,,2025-05-22,D,4175442.0,AMZN
6843,,Sale at price 200.76 - 201.36 per share.,HERRINGTON DOUGLAS J,Chief Executive Officer,,2025-05-21,D,1373851.0,AMZN
17107,,,HERRINGTON DOUGLAS J,Chief Executive Officer,,2025-05-21,D,,AMZN
20923,,Sale at price 200.75 - 203.21 per share.,GARMAN MATTHEW S,Chief Executive Officer,,2025-05-21,D,4211791.0,AMZN
20923,,,GARMAN MATTHEW S,Chief Executive Officer,,2025-05-21,D,,AMZN
17750,,,ZAPOLSKY DAVID A.,Officer,,2025-05-21,D,,AMZN
17750,,Sale at price 201.57 per share.,OLSAVSKY BRIAN T.,Chief Financial Officer,,2025-05-21,D,3577868.0,AMZN
17750,,,OLSAVSKY BRIAN T.,Chief Financial Officer,,2025-05-21,D,,AMZN
19872,,Sale at price 200.75 - 202.81 per share.,JASSY ANDREW R.,Chief Executive Officer,,2025-05-21,D,4000320.0,AMZN
49680,,,JASSY ANDREW R.,Chief Executive Officer,,2025-05-21,D,,AMZN
2695,,Sale at price 200.73 - 201.48 per share.,REYNOLDS SHELLEY L,Officer,,2025-05-21,D,541129.0,AMZN
2695,,,REYNOLDS SHELLEY L,Officer,,2025-05-21,D,,AMZN
4864,,Stock Gift at price 0.00 per share.,HERRINGTON DOUGLAS J,Officer,,2025-05-20,D,0.0,AMZN
2120,,,NOOYI INDRA K,Director,,2025-05-15,D,,AMZN
1984,,,NG ANDREW YAN-TAK,Director,,2025-05-15,D,,AMZN
4784,,Sale at price 204.58 - 206.03 per share.,HERRINGTON DOUGLAS J,Chief Executive Officer,,2025-05-15,D,980971.0,AMZN
11960,,,HERRINGTON DOUGLAS J,Chief Executive Officer,,2025-05-15,D,,AMZN
609402,,Stock Gift at price 0.00 per share.,BEZOS JEFFREY P,Officer and Director,,2025-05-14,D,0.0,AMZN
1000,,Sale at price 210.68 per share.,ALEXANDER KEITH BRIAN,Director,,2025-05-12,D,210680.0,AMZN
2500,,Sale at price 190.67 per share.,HERRINGTON DOUGLAS J,Officer,,2025-05-01,D,476675.0,AMZN
2500,,Sale at price 187.99 per share.,HERRINGTON DOUGLAS J,Officer,,2025-04-01,D,469975.0,AMZN
296182,,Stock Gift at price 0.00 per share.,BEZOS JEFFREY P,Officer and Director,,2025-03-04,D,0.0,AMZN
2500,,Sale at price 213.17 per share.,HERRINGTON DOUGLAS J,Chief Executive Officer,,2025-03-03,D,532925.0,AMZN
25060,,Sale at price 217.50 - 223.16 per share.,ZAPOLSKY DAVID A.,Officer,,2025-02-24,D,5469364.0,AMZN
6104,,Sale at price 221.52 - 223.14 per share.,HERRINGTON DOUGLAS J,Officer,,2025-02-21,D,1357967.0,AMZN
15260,,,HERRINGTON DOUGLAS J,Officer,,2025-02-21,D,,AMZN
15240,,Sale at price 219.05 - 222.79 per share.,GARMAN MATTHEW S,Officer,,2025-02-21,D,3363292.0,AMZN
14620,,,ZAPOLSKY DAVID A.,Officer,,2025-02-21,D,,AMZN
14620,,Sale at price 223.14 per share.,OLSAVSKY BRIAN T.,Chief Financial Officer,,2025-02-21,D,3262307.0,AMZN
14620,,,OLSAVSKY BRIAN T.,Chief Financial Officer,,2025-02-21,D,,AMZN
20784,,Sale at price 219.10 - 222.88 per share.,JASSY ANDREW R.,Chief Executive Officer,,2025-02-21,D,4586006.0,AMZN
51960,,,JASSY ANDREW R.,Chief Executive Officer,,2025-02-21,D,,AMZN
8833,,Sale at price 221.42 - 223.14 per share.,REYNOLDS SHELLEY L,Officer,,2025-02-21,D,1965107.0,AMZN
5471,,,REYNOLDS SHELLEY L,Officer,,2025-02-21,D,,AMZN
51750,,Stock Gift at price 0.00 per share.,GORELICK JAMIE S,Director,,2025-02-18,I,0.0,AMZN
5501,,Sale at price 228.32 - 228.90 per share.,HERRINGTON DOUGLAS J,Officer,,2025-02-18,D,1256672.0,AMZN
1900,,,WEEKS WENDELL P.,Director,,2025-02-14,D,,AMZN
2677,,,GORELICK JAMIE S,Director,,2025-02-14,D,,AMZN
13752,,,HERRINGTON DOUGLAS J,Officer,,2025-02-14,D,,AMZN
27500,,Sale at price 228.74 - 230.68 per share.,HERRINGTON DOUGLAS J,Officer,,2025-02-12,D,6332368.0,AMZN
4351,,Sale at price 229.85 per share.,RUBINSTEIN JONATHAN J,Director,,2024-12-09,D,1000077.0,AMZN
4549,,Sale at price 219.85 per share.,RUBINSTEIN JONATHAN J,Director,,2024-12-04,D,1000098.0,AMZN
3500,,Sale at price 210.00 per share.,HERRINGTON DOUGLAS J,Officer,,2024-12-02,D,735000.0,AMZN
6104,,Sale at price 198.69 - 202.80 per share.,HERRINGTON DOUGLAS J,Officer,,2024-11-21,D,1221989.0,AMZN
15260,,,HERRINGTON DOUGLAS J,Officer,,2024-11-21,D,,AMZN
15260,,Sale at price 196.31 - 202.87 per share.,GARMAN MATTHEW S,Chief Executive Officer,,2024-11-21,D,3054828.0,AMZN
11680,,Sale at price 196.46 - 203.06 per share.,ZAPOLSKY DAVID A.,Officer,,2024-11-21,D,2338661.0,AMZN
14600,,,ZAPOLSKY DAVID A.,Officer,,2024-11-21,D,,AMZN
14600,,Sale at price 202.88 per share.,OLSAVSKY BRIAN T.,Chief Financial Officer,,2024-11-21,D,2962048.0,AMZN
14600,,,OLSAVSKY BRIAN T.,Chief Financial Officer,,2024-11-21,D,,AMZN
20784,,Sale at price 196.46 - 202.74 per share.,JASSY ANDREW R.,Chief Executive Officer,,2024-11-21,D,4160373.0,AMZN
51960,,,JASSY ANDREW R.,Chief Executive Officer,,2024-11-21,D,,AMZN
3791,,Sale at price 198.74 - 202.40 per share.,REYNOLDS SHELLEY L,Officer,,2024-11-21,D,759090.0,AMZN
5472,,,REYNOLDS SHELLEY L,Officer,,2024-11-21,D,,AMZN
1409999,,Stock Gift at price 0.00 per share.,BEZOS JEFFREY P,Officer and Director,,2024-11-20,D,0.0,AMZN
1237,,Sale at price 199.06 per share.,HUTTENLOCHER DANIEL P,Director,,2024-11-19,D,246237.0,AMZN
2605,,,SMITH BRAD D,Director,,2024-11-15,I,,AMZN
2473,,,RUBINSTEIN JONATHAN J,Director,,2024-11-15,D,,AMZN
2473,,,STONESIFER PATRICIA Q,Director,,2024-11-15,D,,AMZN
5502,,Sale at price 204.99 - 206.78 per share.,HERRINGTON DOUGLAS J,Officer,,2024-11-15,D,1132355.0,AMZN
13753,,,HERRINGTON DOUGLAS J,Officer,,2024-11-15,D,,AMZN
4950,,Stock Gift at price 0.00 per share.,ZAPOLSKY DAVID A.,Officer,,2024-11-15,D,0.0,AMZN
2473,,,HUTTENLOCHER DANIEL P,Director,,2024-11-15,D,,AMZN
2605,,,ALEXANDER KEITH BRIAN,Director,,2024-11-15,D,,AMZN
1900,,,COOPER EDITH W.,Director,,2024-11-15,D,,AMZN
3300720,,Sale at price 206.50 - 212.71 per share.,BEZOS JEFFREY P,Officer and Director,,2024-11-13,D,686521413.0,AMZN
5992724,,Sale at price 206.28 - 209.65 per share.,BEZOS JEFFREY P,"Officer, Director and Beneficial Owner",,2024-11-11,D,1245279944.0,AMZN
5992724,,Sale at price 200.39 - 211.56 per share.,BEZOS JEFFREY P,"Officer, Director and Beneficial Owner",,2024-11-07,D,1231381630.0,AMZN
4766,,Sale at price 209.85 per share.,RUBINSTEIN JONATHAN J,Director,,2024-11-07,D,1000145.0,AMZN
900,,Sale at price 196.37 per share.,ALEXANDER KEITH BRIAN,Director,,2024-11-04,D,176733.0,AMZN
1068452,,Sale at price 200.07 per share.,BEZOS JEFFREY P,"Officer, Director and Beneficial Owner",,2024-11-01,D,213760597.0,AMZN
5004,,Sale at price 199.85 per share.,RUBINSTEIN JONATHAN J,Director,,2024-11-01,D,1000049.0,AMZN
21280,,Sale at price 180.00 per share.,CHILD JASON E,Chief Financial Officer,,2026-04-22,D,3830400.0,ARM
9299,,Sale at price 160.57 - 163.00 per share.,HAAS RENE A,Chief Executive Officer,,2026-04-14,D,1495783.0,ARM
31853,,Sale at price 160.22 - 163.35 per share.,HAAS RENE A,Chief Executive Officer,,2026-03-26,D,5131328.0,ARM
21280,,Sale at price 148.37 per share.,CHILD JASON E,Chief Financial Officer,,2026-03-25,D,3157314.0,ARM
864,,Stock Award(Grant) at price 0.00 per share.,PAGE JUSTINE F.,Director,,2026-04-20,D,0.0,AVGO
864,,Stock Award(Grant) at price 0.00 per share.,LOW CHECK KIAN,Director,,2026-04-20,D,0.0,AVGO
864,,Stock Award(Grant) at price 0.00 per share.,HAO KENNETH Y,Director,,2026-04-20,D,0.0,AVGO
8000,,Sale at price 370.52 per share.,VELAGA S. RAM,Officer,,2026-04-10,D,2964178.0,AVGO
30215,,Sale at price 352.02 - 352.12 per share.,VELAGA S. RAM,Officer,,2026-04-09,D,10638012.0,AVGO
1000,,Sale at price 358.31 per share.,DELLY GAYLA J,Director,,2026-04-09,D,358310.0,AVGO
2018,,Sale at price 353.00 per share.,PAGE JUSTINE F.,Director,,2026-04-08,D,712354.0,AVGO
10000,,Sale at price 345.23 per share.,KAWWAS CHARLIE B,Officer,,2026-04-08,I,3452270.0,AVGO
22000,,Stock Gift at price 0.00 per share.,TAN HOCK E,Chief Executive Officer,,2026-04-08,D,0.0,AVGO
